transect_id,group_id,TransOrder,azimuth_deg,shoreline_count,shoreline_change_envelope_m,net_shoreline_movement_m,endpoint_rate_myr,endpoint_rate_unc_myr,linear_regression_rate_myr,linear_regression_r2,linear_regression_ci95_myr,weighted_linear_regression_rate_myr,weighted_regression_r2,weighted_regression_ci95_myr
533,0,533,95.62,18,57.73,-46.67,-1.14,0.03,-0.81,0.5,0.43,-0.81,0.5,0.43
534,0,534,96.05,18,60.8,-47.43,-1.16,0.03,-0.94,0.6,0.4,-0.94,0.6,0.4
535,0,535,95.77,18,55.0,-30.13,-0.73,0.03,-0.78,0.54,0.38,-0.78,0.54,0.38
536,0,536,96.22,18,69.29,-22.37,-0.55,0.03,-1.13,0.62,0.47,-1.13,0.62,0.47
537,0,537,98.08,18,83.5,-35.38,-0.86,0.03,-1.55,0.76,0.47,-1.55,0.76,0.47
538,0,538,99.4,18,61.7,-42.0,-1.02,0.03,-1.02,0.68,0.37,-1.02,0.68,0.37
539,0,539,100.68,18,40.75,-19.58,-0.48,0.03,-0.29,0.1,0.45,-0.29,0.1,0.45
540,0,540,101.65,18,79.0,-19.74,-0.48,0.03,-0.56,0.14,0.73,-0.56,0.14,0.73
541,0,541,102.75,18,78.89,-36.84,-0.9,0.03,-1.26,0.57,0.58,-1.26,0.57,0.58
542,0,542,103.97,18,60.56,-41.45,-1.01,0.03,-1.21,0.73,0.39,-1.21,0.73,0.39
543,0,543,105.15,18,63.88,-52.43,-1.28,0.03,-1.27,0.77,0.37,-1.27,0.77,0.37
544,0,544,108.06,18,81.28,-52.15,-1.27,0.03,-1.36,0.7,0.47,-1.36,0.7,0.47
545,0,545,110.03,18,52.7,-45.96,-1.12,0.03,-1.04,0.61,0.44,-1.04,0.61,0.44
546,0,546,111.49,18,59.09,-50.98,-1.24,0.03,-1.12,0.7,0.38,-1.12,0.7,0.38
547,0,547,112.31,18,57.69,-40.98,-1.0,0.03,-1.05,0.71,0.35,-1.05,0.71,0.35
548,0,548,113.14,18,43.99,-16.67,-0.41,0.03,-0.48,0.27,0.42,-0.48,0.27,0.42
549,0,549,113.93,18,55.74,-46.51,-1.13,0.03,-1.07,0.62,0.45,-1.07,0.62,0.45
550,0,550,113.98,18,59.38,-41.67,-1.02,0.03,-1.06,0.65,0.41,-1.06,0.65,0.41
551,0,551,113.96,18,49.47,-24.24,-0.59,0.03,-0.81,0.42,0.5,-0.81,0.42,0.5
